,GeoName,2014,2015,2016,2017,2018,2019,2020,2021
0,United States,50995.31,52375.43,53248.78,54442.57,56046.11,57332.06,55745.13,59060.09
1,Alabama,37602.39,37889.31,38473.21,39006.12,39678.95,40284.93,39581.56,41581.33
2,Alaska,73807.58,74560.26,73887.13,73930.85,72634.58,72780.05,69063.53,69287.18
3,Arizona,38121.62,38896.32,40093.62,41790.95,43335.56,44790.2,45035.59,47854.35
4,Arkansas,36898.94,37102.53,37250.18,37597.63,38269.66,38679.49,38726.38,40733.93
5,California,57636.24,60226.69,62026.29,64844.41,67548.78,69724.51,68140.45,73441.78
6,Colorado,51392.19,53759.03,54885.06,56771.03,58977.06,61679.6,60803.16,64316.67
7,Connecticut,65072.54,66983.91,67144.04,68178.77,68741.48,69429.63,64921.85,68046.3
8,Delaware,64629.43,66473.96,62699.9,60068.75,61131.24,63836.64,61983.84,64096.59
9,District of Columbia,171284.6,174656.06,178896.4,180563.73,184931.47,186302.15,183144.36,189869.48
10,Florida,37439.57,39043.42,40385.58,41812.56,43138.34,44239.94,43529.48,47167.51
11,Georgia,43567.71,45344.92,46979.5,48554.31,49926.14,51665.08,49834.48,53326.91
12,Hawaii,50797.91,52426.69,53417.88,54553.56,55174.02,54737.37,48446.4,51512.97
13,Idaho,32796.06,33125.42,34384.56,35152.29,37208.83,38944.52,39460.67,42059.14
14,Illinois,58423.98,59256.43,59065.57,59356.71,60828.23,61167.38,57887.27,61487.62
15,Indiana,46493.23,46048.25,46906.88,47698.84,49361.64,49592.81,48033.52,50816.65
16,Iowa,52106.13,53515.68,53285.08,53440.94,54272.85,54327.36,53462.8,56213.41
17,Kansas,49471.74,50651.62,52314.29,52933.57,54029.48,54401.1,53898.06,55240.03
18,Kentucky,40268.11,40588.57,40854.62,41255.28,41700.41,42819.95,41804.63,43895.35
19,Louisiana,50864.52,50358.99,49367.55,50431.54,51284.48,51229.65,47204.9,47795.12
20,Maine,39236.43,39518.08,40345.53,41001.92,42185.81,43241.18,43479.34,46175.39
21,Maryland,550001.7,563844.19,583165.58,593081.02,595952.46,596080.4,570698.39,596913.98
22,Massachusetts,646049.97,669644.72,680071.65,690743.65,717544.7,735613.17,715340.74,762697.77
23,Michigan,43269.04,44217.29,45063.51,45590.42,46481.62,46536.17,44677.97,47997.79
24,Minnesota,54993.07,55837.31,56733.25,57337.8,58985.19,59626.86,57513.99,60615.61
25,Mississippi,33999.21,34066.61,34328.65,34325.26,34198.94,34236.26,34081.7,35379.03
26,Missouri,44746.94,45223.47,45237.8,45585.31,46118.07,47103.38,45828.56,47924.76
27,Montana,39620.35,41036.51,40169.69,41559.55,42110.8,42383.89,42261.13,44273.19
28,Nebraska,54970.12,56734.63,57350.85,58131.28,59480.36,60402.57,60167.18,62201.55
29,Nevada,41602.25,43334.39,44521.08,46238.69,47815.89,49885.27,46558.74,50714.21
30,New Hampshire,50604.29,51922.26,53024.82,53313.47,54365.93,55364.92,54722.4,59809.73
31,New Jersey,56341.02,57181.26,57731.72,58003.97,59350.65,60385.32,57760.68,61166.98
32,New Mexico,42042.88,42378.36,42118.57,42029.51,42960.55,44833.2,43698.83,44232.11
33,New York,68156.16,69175.05,70665.04,71464.82,73442.43,75580.21,72139.37,76282.5
34,North Carolina,43749.59,44965.15,45710.22,46869.84,47470.22,48536.85,47952.26,51290.9
35,North Dakota,74286.51,72682.77,68096.52,69655.14,71875.25,72480.96,68969.35,69162.17
36,Ohio,48806.63,49203.98,49636.98,50460.62,50825.24,52127.98,50503.77,53491.05
37,Oklahoma,47444.08,49376.29,48362.37,48610.94,49471.83,50400.94,48227.17,48413.71
38,Oregon,42577.02,44627.13,46537.9,48287.0,50490.44,51591.28,50688.05,53562.73
39,Pennsylvania,51463.27,52448.74,52901.65,53401.74,54105.8,54953.69,52332.79,54639.55
40,Rhode Island,47670.11,48149.34,48225.45,48033.29,47907.04,48689.27,46961.54,49778.26
41,South Carolina,35813.09,36974.79,38127.39,38995.19,39878.8,41060.44,40096.94,42563.77
42,South Dakota,50042.74,50955.52,51414.7,51079.71,51664.99,52055.76,52894.78,55300.03
43,Tennessee,42209.43,43695.3,44507.4,45773.23,46430.15,47525.82,46417.58,50580.29
44,Texas,51748.17,54328.94,54804.35,56140.63,58469.91,60211.43,59121.42,61405.05
45,Utah,41026.97,42442.56,44311.86,46347.13,49301.15,51522.19,52395.56,55975.94
46,Vermont,44688.49,45008.13,45454.98,45582.5,45754.99,46278.2,44924.05,47215.03
47,Virginia,51710.66,52575.17,53130.0,53984.32,55203.31,56506.7,55318.14,58372.38
48,Washington,54835.5,57094.26,59201.51,62268.81,66534.82,68875.85,69612.95,74298.92
49,West Virginia,39502.37,39575.45,39210.52,40002.55,40979.74,40678.99,39452.91,39956.41
50,Wisconsin,48295.28,49161.91,49645.46,49645.86,50860.11,51643.5,49846.92,52119.41
51,Wyoming,68266.71,69748.72,65901.33,64750.13,65713.92,66346.38,62587.86,62814.61
